from	statement	to	subkey
5	Leaves compound	6	Family Group 9
5	Leaves simple	9	Family Group 9
6	Leaves palmate; leaflets 3	Sapindaceae	Family Group 9
6	Leaves pinnate; leaflets often > 3	7	Family Group 9
7	Woody vine; sepals generally 4, conspicuous, petal-like; pistils many; styles elongated and plumose in fruit	Ranunculaceae	Family Group 9
7	Tree or large shrub; sepals generally 5 or number difficult to determine, very small; pistil 1; styles never plumose	8	Family Group 9
8	Stigmas short, on slender style; ovary not winged in flower; fruit a 1-winged achene, not splitting	Oleaceae	Family Group 9
8	Stigmas linear, +- sessile; ovary with 2 short wings in flower; fruit generally splitting into winged mericarps	Sapindaceae	Family Group 9
9	Margins of leaves toothed	Picrodendraceae	Family Group 9
9	Margins of leaves entire	10	Family Group 9
10	Weak-stemmed shrub	11	Family Group 9
10	Stouter shrub or tree	12	Family Group 9
11	Perianth parts in 3s, free; ovary superior, unlobed, smooth; NCo	Ericaceae	Family Group 9
11	Perianth parts in 4s, fused; ovary inferior, +- bilobed, smooth to covered with short bristles; widespread	Rubiaceae	Family Group 9
12	Stems and leaves covered with silvery scales	Elaeagnaceae	Family Group 9
12	Stems and leaves glabrous or variously hairy	13	Family Group 9
13	Petals fused proximally	14	Family Group 9
13	Petals free or 0	15	Family Group 9
14	Leaves glossy	Rubiaceae	Family Group 9
14	Leaves densely hairy	Scrophulariaceae	Family Group 9
15	Flowers in pendent catkins	Garryaceae	Family Group 9
15	Flowers not in catkins	16	Family Group 9
16	Stems green, jointed; leaves thin, dry, scarious, scale-like, often early-deciduous --- structures appearing to be flowers actually ovulate cones of a gymnosperm	Ephedraceae	Family Group 9
16	Stems gray or brown or only young stems green, not jointed; leaves thin or thick, green, not dry and scarious, not scale-like, persistent or deciduous	17	Family Group 9
17	Leaves thick, leathery, evergreen; flowers solitary; sepals well developed	Simmondsiaceae	Family Group 9
17	Leaves thin, deciduous; flowers in sessile, axillary clusters or short-peduncled racemes; sepals very small	18	Family Group 9
18	Flowers subsessile, solitary or few in axils; styles 3--4; ovary 3--4-lobed; fruit a capsule	Picrodendraceae	Family Group 9
18	Flowers pedicelled, in axillary clusters; style 1; ovary unlobed; fruit a drupe	Oleaceae	Family Group 9
19	Tendrils present; plant a vine; inflorescence an umbel or panicle; fruit a berry	20	Family Group 9
19	Tendrils 0; plant a shrub or tree, rarely a vine; inflorescence, fruit various	21	Family Group 9
20	Inflorescence an umbel	Smilacaceae	Family Group 9
20	Inflorescence a panicle	Vitaceae	Family Group 9
21	Flowers in catkins or catkin-like spikes	22	Family Group 9
21	Flowers not in catkins or spikes --- ovules never produced in cone-like catkins	30	Family Group 9
22	Leaves compound	23	Family Group 9
22	Leaves simple	24	Family Group 9
23	Leaves 1--2-pinnate, leaflets entire; fruit a long, flat +- indehiscent legume	Fabaceae	Family Group 9
23	Leaves 1-pinnate, leaflets serrate; fruit a small 2-winged nut	Juglandaceae	Family Group 9
24	Shrubs of +- saline desert habitats; leaves +- thick and fleshy or very narrow and densely hairy; spikes erect or very short and axillary	Chenopodiaceae	Family Group 9
24	Shrubs or trees, generally of moister habitats; leaves thin and wide; spikes or catkins erect or pendent	25	Family Group 9
25	Stipules 0	26	Family Group 9
25	Stipules present, evident at least on new growth, sometimes deciduous but leaving evident scars	27	Family Group 9
26	Leaves sessile; blades +- gray, entire, not resin-dotted; flowers enclosed by a pair of bractlets; fruit an achene or utricle, enclosed between and falling together with papery or hardened bractlets	Chenopodiaceae	Family Group 9
26	Leaves petioled; blades green, crenate or serrate, resin-dotted; flowers subtended by 2--4 bractlets; fruit a papillate, wax-coated drupe, free of subtending bractlets, or an achene enclosed by and falling together with a pair of spongy bractlets	Myricaceae	Family Group 9
27	Styles repeatedly branched into many fine, thread-like divisions; ovary 3-lobed, maturing as a capsule; stems brittle; shrub	Euphorbiaceae	Family Group 9
27	Styles or style branches 2--4, generally not further divided; ovary generally unlobed, the fruits various; stems mostly not brittle; shrub or tree	28	Family Group 9
28	Catkins very dense at time of flower; only stigmas exserted beyond tips of tightly appressed bractlets; at maturity either catkin +- cone-like with ovaries ripening as winged achenes or bractlets expanding into 1 or more tubular involucres, each surrounding a nut	Betulaceae	Family Group 9
28	Catkins looser at time of flower; bractlets, if present, not tightly appressed, the ovaries or calyces generally visible on close inspection; at maturity either catkin becoming a +- open cluster of capsules or a fleshy multiple fruit	29	Family Group 9
29	Ovary tightly enwrapped by 4 appressed sepals; catkin bractlets 0; sepals fleshy at maturity, together with ovaries maturing as a multiple fruit	Moraceae	Family Group 9
29	Ovary not enclosed by sepals, calyx 0 or represented by an entire or slightly lobed rim; flowers subtended by bractlets, these sometimes deciduous; ovary ripening as a capsule containing several--many hair-tufted seeds	Salicaceae	Family Group 9
30	Leaves and stems generally with many straight, weak, slender prickles	Rosaceae	Family Group 9
30	Leaves and stems without many straight, weak prickles (rarely with stout prickles), sometimes stems thorny or leaves spiny-margined	31	Family Group 9
31	Leaves palmately lobed	32	Family Group 9
31	Leaves not palmately lobed	33	Family Group 9
32	Inflorescence an erect terminal panicle; shrubs; bark not flaking in large plates; leaves peltate, glabrous	Euphorbiaceae	Family Group 9
32	Inflorescence axillary, generally drooping, of 1--7 spheric heads along an axis; trees; bark flaking from trunks in large plates; leaves obtuse to cordate at base, densely tomentose when young	Platanaceae	Family Group 9
33	Stems and leaves stellate-hairy	34	Family Group 9
33	Stems and leaves glabrous or hairy but not stellate	35	Family Group 9
34	Ovary clearly superior, 2--4-lobed; fruit a capsule; involucre 0; (sub)shrub with entire leaves or desert shrub with crenate leaves	Euphorbiaceae	Family Group 9
34	Ovary inferior but sepals very small and often concealed by bractlets of involucre; fruit either an ovoid nut, subtended by a cup-like involucre, or a triangular nut, surrounded in groups of 1--3 by a bur-like involucre; shrub or tree with leaves entire, toothed, or pinnately lobed but not crenate	Fagaceae	Family Group 9
35	Leaves compound	36	Family Group 9
35	Leaves simple	40	Family Group 9
36	Petals 0; ovary inferior --- fruit a nut with a +- dehiscent husk	Juglandaceae	Family Group 9
36	Petals present; ovary or ovaries superior	37	Family Group 9
37	Leaflets with a few gland-tipped teeth near base; ovaries 5--6, joined only at style; fruit a cluster of winged achenes	Simaroubaceae	Family Group 9
37	Leaflets entire or teeth not gland-tipped; ovary 1; fruit of 1 drupe, capsule, or winged achene	38	Family Group 9
38	Leaves strongly aromatic, dotted with minute, translucent glands; fruit a winged achene	Rutaceae	Family Group 9
38	Leaves aromatic or not, not dotted with translucent glands; fruit a drupe or capsule	39	Family Group 9
39	Leaflets 3--20, lance-linear to ovate, 10--130 mm; fruit a drupe	Anacardiaceae	Family Group 9
39	Leaflets 7--33, linear-oblong or narrowly elliptic, 2--10 mm; fruit drupe-like when young, capsule-like in age	Burseraceae	Family Group 9
40	Corolla 0; perianth parts 0 or in 1 series	41	Family Group 9
40	Corolla present; perianth parts in 2 series	47	Family Group 9
41	Inflorescence a dense, spheric head; styles long, spreading; fruits and knobby-tipped, fleshy sepals ripening as a large multiple fruit	Moraceae	Family Group 9
41	Inflorescence not a spheric head; styles not long, spreading; fruits and sepals not forming multiple fruit	42	Family Group 9
42	Flowers subtended or surrounded at base by an involucre of tiny scale-like bractlets; fruit an ovoid nut, subtended by a cup-like involucre; ovary inferior	Fagaceae	Family Group 9
42	Flowers without an involucre; fruit an achene, utricle, capsule, or drupe; ovary inferior or superior	43	Family Group 9
43	Calyx 0; flowers or fruits each enclosed by a pair of tightly appressed bracts	Chenopodiaceae	Family Group 9
43	Calyx present; flowers or fruits not enclosed by a pair of tightly appressed bracts	44	Family Group 9
44	Leaves strongly aromatic	Lauraceae	Family Group 9
44	Leaves not aromatic	45	Family Group 9
45	Leaves fleshy, linear, +- cylindric; calyx fused to ovary, winged in fruit	Sarcobataceae	Family Group 9
45	Leaves not fleshy, linear to round, flat; calyx free from ovary, not winged in fruit	46	Family Group 9
46	Sepals free; fruit a capsule	Picrodendraceae	Family Group 9
46	Sepals fused; fruit a drupe	Rhamnaceae	Family Group 9
47	Shrub with thorny green stems; leaves early deciduous, scale-like to narrowly oblong	Simaroubaceae	Family Group 9
47	Tree, shrub, or woody vine, generally not thorny; leaves generally present, sometimes deciduous in winter or dry season	48	Family Group 9
48	Flower parts in 3s	Ericaceae	Family Group 9
48	Flower parts generally in 4s or 5s	49	Family Group 9
49	Flowers in involucred heads, these generally in open to dense clusters; ovary 1 per flower, inferior; calyx modified as a white to +- brown pappus	Asteraceae	Family Group 9
49	Flowers not in heads; ovaries 1--5, superior; calyx green, not modified	50	Family Group 9
50	Hypanthium present	51	Family Group 9
50	Hypanthium 0	52	Family Group 9
51	Ovary 1; petals <= 1 mm, +- yellow; inflorescence an axillary cyme	Rhamnaceae	Family Group 9
51	Ovaries generally 5; petals 3--6 mm, white; inflorescence a raceme	Rosaceae	Family Group 9
52	Flower parts in 4s; leaves spiny-toothed or entire	Aquifoliaceae	Family Group 9
52	Flower parts generally in 5s; leaves entire to lobed, not spiny-toothed	53	Family Group 9
53	Petals 1--5 mm; fruit a drupe	Anacardiaceae	Family Group 9
53	Petals 10--15 mm; fruit a capsule --- seeds sticky	Pittosporaceae	Family Group 9
1	Perianth 0 or of 1 whorl, generally called sepals even when petal-like	2	Family Group 10
1	Perianth of 2 or more whorls or spirals, the outer generally called sepals, the inner generally called petals	8	Family Group 10
2	Hypanthium present	Rosaceae	Family Group 10
2	Hypanthium 0	3	Family Group 10
3	Trees; leaves palmately lobed	Platanaceae	Family Group 10
3	Herbs or woody vines; leaves various	4	Family Group 10
4	Plant terrestrial or if aquatic with emergent leaves	Ranunculaceae	Family Group 10
4	Plant aquatic with submersed or floating leaves	5	Family Group 10
5	Perianth parts 1--4	6	Family Group 10
5	Perianth +- 0	7	Family Group 10
6	Perianth part 1, white, petal-like, enlarging and turning green in age; stamens 6--18; fruit follicle, 4-seeded	Aponogetonaceae	Family Group 10
6	Perianth parts 4, green or +- brown, sepal-like; stamens 4; fruit achene-like drupe, 1-seeded	Potamogetonaceae	Family Group 10
7	Flowers bisexual, borne along axis of initially short-peduncled spike, peduncle elongating in fruit; stamens 2; pistils (2)4(8); ovary stalk in fruit 12--35 mm; fruit +- ovoid, smooth, beak 0.5--1 mm	Ruppiaceae	Family Group 10
7	Flowers unisexual, staminate and pistillate together in sessile, 2-flowered axillary cluster; stamen 1; pistils (1)4--5(9); ovary stalk in fruit 0.1--1.5 mm; fruit abaxially curved, minutely roughened, beak 0.7--2 mm	Zannichelliaceae	Family Group 10
8	Leaves and often stems thick and fleshy; pistils generally as many as petals or sepals --- stamens 1--2 &times; as many	Crassulaceae	Family Group 10
8	Leaves and stems not very thick and fleshy; number of pistils same as or different from number of sepals or petals	9	Family Group 10
9	Perianth parts in 3s	10	Family Group 10
9	Perianth parts generally in 4s or 5s or indefinite in number	16	Family Group 10
10	Leaves compound	11	Family Group 10
10	Leaves simple	12	Family Group 10
11	Tree with unbranched trunk; leaves 4--7 m, leaflets many	Arecaceae	Family Group 10
11	Annual; leaves <= 6 cm, leaflets 3--5 --- carpels actually united by common style	Limnanthaceae	Family Group 10
12	Flowers solitary --- sepals and petals all similar, +- white or +- red-purple; leaves floating and peltate or some or all submersed and dissected	Cabombaceae	Family Group 10
12	Flowers several--many in raceme- to panicle-like inflorescence	13	Family Group 10
13	Sepals green, petals white (pink)	Alismataceae	Family Group 10
13	Sepals and petals the same color, +- white to green or +- red	14	Family Group 10
14	Inflorescence bractless --- carpels actually +- fused, separating in fruit	Juncaginaceae	Family Group 10
14	Inflorescence bracted	15	Family Group 10
15	Ovules many per carpel; fruits erect --- carpels actually proximally fused [may appear +- free]	Melanthiaceae	Family Group 10
15	Ovules 1--3 per carpel; fruits spreading	Scheuchzeriaceae	Family Group 10
16	Stamens > 2 &times; as many as petal-like perianth segments or > 15	17	Family Group 10
16	Stamens 2 &times; as many as petals or fewer	23	Family Group 10
17	Plants obviously woody; shrubs or trees	18	Family Group 10
17	Plants herbaceous or slightly woody at base	20	Family Group 10
18	Crushed leaves strongly aromatic; leaves opposite	Calycanthaceae	Family Group 10
18	Crushed leaves not aromatic; leaves alternate	19	Family Group 10
19	Flowers solitary; seeds with arils	Crossosomataceae	Family Group 10
19	Flowers clustered; seeds without arils	Rosaceae	Family Group 10
20	Hypanthium present	Rosaceae	Family Group 10
20	Hypanthium 0	21	Family Group 10
21	Sepals enlarging and persisting around fruit; stamens maturing from flower center toward edge	Paeoniaceae	Family Group 10
21	Sepals deciduous as flower opens or withering as fruit matures; stamens maturing from flower edge toward center	22	Family Group 10
22	Sepals 2--3(4), falling as flower opens, not petal-like; carpels actually weakly fused in flower, +- separating in age	Papaveraceae	Family Group 10
22	Sepals 4--many, present in open flowers, sometimes petal-like; carpels generally wholly free	Ranunculaceae	Family Group 10
23	Petals fused, at least at base	24	Family Group 10
23	Petals free but sometimes attached to a disk-like to tubular hypanthium	25	Family Group 10
24	Plant erect, prostrate, or twining; flowers generally conspicuous, not concealed by leaves; ovules many per ovary; milky latex generally present --- carpels proximally free but actually united by common stigma	Apocynaceae	Family Group 10
24	Plant prostrate, mat-forming; flowers minute, subsessile, axillary, generally concealed by leaves; ovules 1--2 per ovary; milky latex 0	Convolvulaceae	Family Group 10
25	Hypanthium well developed	26	Family Group 10
25	Hypanthium 0 or inconspicuous	28	Family Group 10
26	Leaves simple, basal or cauline; stipules often 0; veins generally palmate; ovules generally several--many per carpel --- carpels slightly fused proximally but free most of their length	Saxifragaceae	Family Group 10
26	Leaves simple or compound, generally cauline; stipules generally present; veins often pinnate; ovules generally 1--2 per carpel	27	Family Group 10
27	Shrub	Crossosomataceae {Glossopetalon spinescens var. aridum}	Family Group 10
27	Herb	Rosaceae	Family Group 10
28	Plant herbaceous	29	Family Group 10
28	Plant woody	30	Family Group 10
29	Annual; ovule 1 per ovary; leaves pinnately divided or compound --- carpels actually united by common style	Limnanthaceae	Family Group 10
29	Perennial herb; ovules several--many per ovary; leaves simple and entire or variously toothed to palmately lobed or compound	Saxifragaceae	Family Group 10
30	Leaves pinnately compound	Simaroubaceae	Family Group 10
30	Leaves simple, entire, sometimes scale-like	31	Family Group 10
31	Flowers solitary in leaf axils; fruit a cluster of follicles; leaves elliptic, persistent or drought-deciduous	Crossosomataceae	Family Group 10
31	Flowers in dense panicles; fruit cluster of +- dry drupes; leaves scale-like to narrowly oblong, early-deciduous --- shrub with thorny green stems	Simaroubaceae	Family Group 10
1	Plant parasitic on stem of woody host plant	Viscaceae	Family Group 11
1	Plant free-living, rooted in ground	2	Family Group 11
2	Leaves fleshy, scale-like or linear to oblanceolate; catkins erect	3	Family Group 11
2	Leaves non-fleshy, +- thin to leathery, with well-developed flat blades, generally wider; catkins erect to drooping	4	Family Group 11
3	Leaves scale-like; distal stems +- fleshy, jointed	Chenopodiaceae	Family Group 11
3	Leaves linear to oblanceolate, +- cylindric; distal stems not jointed	Sarcobataceae	Family Group 11
4	Leaves opposite	Garryaceae	Family Group 11
4	Leaves alternate	5	Family Group 11
5	Leaf compound	6	Family Group 11
5	Leaf simple	7	Family Group 11
6	Plants dioecious, evergreen; staminate catkin-like inflorescence branched --- inflorescence resembles catkin when young, but is actually a branched panicle	Anacardiaceae	Family Group 11
6	Plants monoecious, deciduous; staminate catkin unbranched	Juglandaceae	Family Group 11
7	Fruit capsule; seeds 3--many	8	Family Group 11
7	Fruit dry or fleshy, indehiscent; seed generally 1	9	Family Group 11
8	Ovary 3-lobed; seeds 3, without a tuft of hairs; stems brittle	Euphorbiaceae	Family Group 11
8	Ovary unlobed; seeds several--many, each with a tuft of hairs; stems not brittle	Salicaceae	Family Group 11
9	Shrubs of +- saline desert habitats; leaves densely stellate-hairy or scaly-puberulent and +- glabrous in age	Chenopodiaceae	Family Group 11
9	Shrubs or trees, generally of moister habitats; leaves glabrous or variously hairy	10	Family Group 11
10	Milky latex present; sepals of pistillate inflorescence enlarged and fleshy in fruit, ripening together with the ovaries as a spheric to ellipsoid or ovoid multiple fruit	Moraceae	Family Group 11
10	Milky latex 0; sepals 0 or if present, not becoming fleshy; ovaries ripening as individual drupes, nuts, or winged achenes	11	Family Group 11
11	Leaf blade dotted with minute, bead-like, peltate resin glands, aromatic; stipules 0; staminate catkins short, densely flowered; sepals 0; fruit a papillate, wax-coated drupe, free of subtending bracts Or an achene enclosed between a pair of spongy bractlets	Myricaceae	Family Group 11
11	Leaf blade not dotted with minute, bead-like resin glands (except in some Betulaceae), generally not aromatic; stipules formed but generally early-deciduous; staminate catkins elongated, either +- flexible and drooping or stiff and spike-like; sepals present in staminate catkins (except _Corylus_ in Betulaceae); fruit a nut or winged achene	12	Family Group 11
12	Fruits many, small, flattened, winged achenes, clustered in a cone-like fruit catkin; plant deciduous; pistillate flower calyx 0	Betulaceae	Family Group 11
12	Fruits 1--3, each a well-developed nut, subtended or surrounded by a husk-, cup-, or spiny, bur-like involucre; plant deciduous or evergreen; pistillate flower calyx fused to ovary, sepal tips surrounding style base	13	Family Group 11
13	Fruit a nut enclosed in a tubular, husk-like involucre; involucral bractlets 2, papery; staminate catkins drooping, densely flowered, bractlets +- concealing flowers, sepals 0; deciduous shrub	Betulaceae	Family Group 11
13	Fruit a nut in a scaly cup-like involucre or 1--3 nuts enclosed in a spiny, bur-like involucre; involucral bractlets many, scaly or spiny; staminate catkins very slender and drooping or stiff and spike-like, bractlets inconspicuous, sepals present; deciduous or evergreen tree or shrub	Fagaceae	Family Group 11
1	Plant parasitic on stem of woody host plant	Viscaceae	Family Group 12
1	Plant rooted in soil, not parasitic	2	Family Group 12
2	Inflorescence a dense spike or a spheric head, or flowers enclosed within a fleshy, hollow receptacle	3	Family Group 12
2	Inflorescence not a dense spike or a spheric head, flowers not enclosed in a fleshy, hollow receptacle	7	Family Group 12
3	Leaves pinnately compound or modified into linear to oblong or narrowly elliptic, entire, flattened axes without leaflets; fruit a legume --- perianth actually of 2 whorls, the calyx easily overlooked	Fabaceae Group 1	Family Group 12
3	Leaves simple, ovate or wider in overall outline, entire, toothed, or palmately lobed; fruit not a legume	4	Family Group 12
4	Inflorescence a hollow receptacle enclosing many tiny flowers; ripened inflorescence an externally smooth, fleshy multiple fruit [a fig]; milky latex present	Moraceae	Family Group 12
4	Inflorescence a short, dense spike or a head; ripened pistillate inflorescence an externally roughened spike or spheric head; milky latex present or 0	5	Family Group 12
5	Perianth parts fused into a tube; flowers bisexual	Asteraceae	Family Group 12
5	Perianth parts free; flowers unisexual	6	Family Group 12
6	Lf-blade entire to toothed, sometimes irregularly few-lobed, faces glabrous or sparsely short-hairy; ripened pistillate inflorescence a fleshy spike or head; milky latex present; petiole base not expanded, not covering axillary bud; stipules membranous, free, generally early-deciduous	Moraceae	Family Group 12
6	Lf-blade +- deeply palmately lobed, the lobes entire or +- toothed, faces densely stellate-tomentose when young; ripened pistillate inflorescence a dry head of long-stiff-hairy achenes; milky latex 0; petiole base expanded, covering axillary bud; stipules large and green, fused around stem, persistent or deciduous --- pistils actually > 1	Platanaceae	Family Group 12
7	Flowers unisexual, plant monoecious; pistillate inflorescence 1--5-flowered, maturing as a bur with spiny, knob-like, or membranous bract tips; staminate inflorescence a head	Asteraceae	Family Group 12
7	Flowers bisexual, or if unisexual, pistillate inflorescence not 1--5-flowered and maturing as a bur with spiny, knob-like, or membranous bract tips; staminate inflorescence various	8	Family Group 12
8	Ovary inferior, partly so, or appearing so	9	Family Group 12
8	Ovary superior	14	Family Group 12
9	Herbage covered with silvery scales; fruit drupe-like --- ovary actually superior, ripening as an achene, tightly enclosed by hypanthium base that becomes fleshy at maturity	Elaeagnaceae	Family Group 12
9	Herbage without silvery scales; fruit various	10	Family Group 12
10	Inflorescence unit an involucred head, superficially resembling a single flower	Asteraceae	Family Group 12
10	Inflorescence open or flowers solitary or paired	11	Family Group 12
11	Trees, evergreen; stamens many; leaves aromatic --- perianth early-deciduous as cap	Myrtaceae	Family Group 12
11	Shrubs or woody vines, evergreen or deciduous; stamens 4--12; leaves generally not aromatic	12	Family Group 12
12	Perianth rotate, lobes >> tube; leaves whorled; fruit 2-lobed	Rubiaceae	Family Group 12
12	Perianth tubular, lobes << tube; leaves alternate or opposite; fruit not lobed	13	Family Group 12
13	Leaves alternate; perianth tube U-shaped; twining vine	Aristolochiaceae	Family Group 12
13	Leaves opposite; perianth tube straight; erect shrub	Caprifoliaceae	Family Group 12
14	Leaves opposite or whorled	15	Family Group 12
14	Leaves alternate	22	Family Group 12
15	Fruit winged, indehiscent; leaves generally lobed or compound	16	Family Group 12
15	Fruit not winged; leaves simple, entire or toothed	17	Family Group 12
16	Style evident, stigma 1, entire or slightly 2-lobed; fruit 1-winged, not splitting; leaves pinnately compound (leaflet generally 1 in Fraxinus anomala_)	Oleaceae	Family Group 12
16	Style very short, stigmas 2(3), elongate; fruit 2(3)-winged, generally splitting into mericarps; leaves palmately lobed or compound or pinnately compound	Sapindaceae	Family Group 12
17	Flowers bisexual; stamens 20--25(30)	Rosaceae	Family Group 12
17	Flowers unisexual; stamens generally 3--12	18	Family Group 12
18	Leaf covered with silvery scales	Elaeagnaceae	Family Group 12
18	Leaf glabrous or +- hairy	19	Family Group 12
19	Leaves needle-like, abaxially grooved	Ericaceae	Family Group 12
19	Leaves not needle-like, not grooved	20	Family Group 12
20	Staminate and pistillate flowers in sessile umbels; style 1, stigma entire or 2-lobed	Oleaceae	Family Group 12
20	Staminate flowers clustered, pistillate flowers generally solitary; styles or stigmas (2)3--5	21	Family Group 12
21	Staminate inflorescence a raceme or panicle, flowers clearly stalked; fruit 3--4-lobed	Picrodendraceae	Family Group 12
21	Staminate inflorescence head-like, flowers subsessile; fruit unlobed	Simmondsiaceae	Family Group 12
22	Leaves pinnately compound or very deeply pinnately divided	23	Family Group 12
22	Leaves simple, sometimes lobed	25	Family Group 12
23	Perianth parts +- brown-green, inconspicuous, bract-like; flowers unisexual, plants dioecious	Anacardiaceae	Family Group 12
23	Perianth parts petal-like, conspicuous; flowers bisexual	24	Family Group 12
24	Shrub; flowers solitary; perianth radial, parts 6, white --- sepals actually present in bud, but early-deciduous, 0 in open flower	Papaveraceae	Family Group 12
24	Tree; flowers in raceme; perianth bilateral, parts 4, yellow or orange, proximally +- red	Proteaceae	Family Group 12
25	Inflorescence flower-like with a cup-like involucre bearing colored, often petal-like nectaries; each stamen [actually a staminate flower] with a jointed stalk [composed of a filament and a pedicel]; pistil [actually pistillate flower] 3-lobed, generally exserted from involucre; milky latex present	Euphorbiaceae	Family Group 12
25	Inflorescences various, but not flower-like; stamens generally > 1 per flower, the filaments not jointed; pistils various; milky latex generally 0	26	Family Group 12
26	Anthers opening by pores with hinged lids; leaf strongly aromatic --- 2-whorled nature of perianth may not be evident in open flowers	Lauraceae	Family Group 12
26	Anthers opening by slits; leaf generally not aromatic	27	Family Group 12
27	Leaves fleshy, cylindric to +- flat	Chenopodiaceae	Family Group 12
27	Leaves not fleshy, generally flat	28	Family Group 12
28	Leaf palmately veined and lobed	29	Family Group 12
28	Leaf pinnately veined or only midvein evident, generally unlobed	31	Family Group 12
29	Woody vine; tendrils present --- calyx 0 or reduced to an entire or slightly lobed rim, easily overlooked	Vitaceae	Family Group 12
29	Erect or spreading shrub; tendrils 0	30	Family Group 12
30	Leaf peltate, glabrous; flowers unisexual, perianth parts +- green, free; stamens very many, the filaments irregularly joined in clusters	Euphorbiaceae	Family Group 12
30	Leaf not peltate, stellate-hairy; flowers bisexual, perianth parts yellow or orange to +- red, petal-like; stamens 5, filaments fused in 1 group	Malvaceae	Family Group 12
31	Perianth parts 2--3 cm, bright yellow; ovules many --- sepals actually present in bud, but early-deciduous, 0 in open flower	Papaveraceae	Family Group 12
31	Perianth parts generally < 1.5 cm, generally not yellow and petal-like; ovules 1--2 per chamber	32	Family Group 12
32	Plant covered with +- gray or silvery scales	33	Family Group 12
32	Plant without scales	35	Family Group 12
33	Flowers tubular in proximal half, some or all bisexual; tree or large shrub; leaves linear-lanceolate to oblong	Elaeagnaceae	Family Group 12
33	Flowers not tubular, all unisexual, plant dioecious; shrub; leaves various	34	Family Group 12
34	Ovary of pistillate flower enclosed by 2 appressed bracts; leaf surface scales powder-like, not stellate	Chenopodiaceae	Family Group 12
34	Ovary of pistillate flower subtended by 5 sepals; leaf surface scales stellate	Euphorbiaceae	Family Group 12
35	Perianth parts 6 --- 2-whorled nature of perianth may not be evident in open flowers	36	Family Group 12
35	Perianth parts generally 4 or 5	37	Family Group 12
36	Flowers solitary, axillary, unisexual; fruit a berry	Ericaceae	Family Group 12
36	Flowers in involucred umbels, bisexual; fruit an achene	Polygonaceae	Family Group 12
37	Stamens = in number to and alternate sepals	Rhamnaceae	Family Group 12
37	Stamens = in number to and opposite sepals or > in number than sepals	38	Family Group 12
38	Style and stigma 1	39	Family Group 12
38	Styles or stigmas 2--4	40	Family Group 12
39	Style feathery with long, stiff hairs; fruit an achene surrounded by a tubular hypanthium; branches stiff	Rosaceae	Family Group 12
39	Style glabrous; fruit an exposed drupe; branches pliable --- corolla 0 or reduced to minute scales, easily overlooked	Thymelaeaceae	Family Group 12
40	Fruit a drupe; flowers staminate and bisexual	Cannabaceae	Family Group 12
40	Fruit a winged nutlet or splitting into 1--2-seeded segments that release seeds; flowers unisexual or bisexual	41	Family Group 12
41	Tree; fruit a flattened, round to ovate, 2-winged nutlet	Ulmaceae	Family Group 12
41	Shrub; fruit splitting into segments	42	Family Group 12
42	Leaves elliptic, crenate; fruit segments 1-seeded	Euphorbiaceae	Family Group 12
42	Leaves oblanceolate to obovate, entire; fruit segments 1--2-seeded	Picrodendraceae	Family Group 12
1	Plant terrestrial, or if aquatic, strongly emergent	2	Family Group 13
1	Plant aquatic, submersed or floating	9	Family Group 13
2	Flowers all unisexual; inflorescence either a dense erect spike of staminate flowers directly distal to a spike of pistillate flowers, or a group of several spheric unisexual heads attached to a zigzag main axis, spikes or heads 1--4 cm diam	Typhaceae	Family Group 13
2	Flowers bisexual or some or all unisexual; inflorescences of various types, generally < 1 cm diam if spike or head	3	Family Group 13
3	Fruit a berry or capsule with 3--many seeds or breaking into 1-seeded mericarps; perianth segments 4--6, well developed --- actually in two whorls, but this may not be evident in open flowers	4	Family Group 13
3	Fruit an achene or grain, 1-seeded; perianth inconspicuous or 0 or modified as +- conspicuous bristles	6	Family Group 13
4	Leaves with expanded blades; perianth parts petal-like, white or cream	Ruscaceae	Family Group 13
4	Leaves narrowly linear; perianth parts scale-like, green to +- red or brown	5	Family Group 13
5	Inflorescence of 1--many flowers, variously clustered, subtended individually and/or in small groups by bracts; style 1, stigmas (2)3, linear, spreading; fruit a capsule	Juncaceae	Family Group 13
5	Inflorescence a bractless raceme; stigmas 3 or 6, +- sessile, papillate or plumose; fruit breaking into mericarps	Juncaginaceae	Family Group 13
6	Inflorescence a bractless emergent spike of bisexual and sometimes staminate flowers, plus 2 submerged, long-styled, sessile pistillate flowers enclosed by leaf sheath at base of peduncle; stamen 1; stigma 1	Juncaginaceae	Family Group 13
6	Inflorescence 1--many spikelets with flowers individually subtended or enclosed by scale-like bracts; stamens (1)3(6); stigmas 2--3	7	Family Group 13
7	Stem leafless, the leaves all basal, sometimes reduced to bladeless sheaths	Cyperaceae	Family Group 13
7	Stem at least proximally leafy	8	Family Group 13
8	Stems generally 3-angled (cylindric), generally solid; nodes not swollen; leaves generally 3-ranked; spikelet generally without 2 bractlets at base that do not directly subtend flower parts; each flower subtended by 1 bract (in _Carex_ and _Kobresia_ a second, generally hollow, +- flask-shaped bract [perigynium] surrounds or encloses each pistillate flower); perianth of generally inconspicuous to long-exserted bristles or 0; fruit an achene	Cyperaceae	Family Group 13
